// HSK 2012-2018/Level 1
接着	jie1zhe5
节	jie2
节约	jie2yue1
结果	jie2guo3
解释	jie3shi4
尽管	jin3guan3
紧张	jin3zhang1
进行	jin4xing2
禁止	jin4zhi3
京剧	jing1ju4
经济	jing1ji4
经历	jing1li4
经验	jing1yan4
精彩	jing1cai3
景色	jing3se4
警察	jing3cha2
竞争	jing4zheng1
竟然	jing4ran2
镜子	jing4zi5
究竟	jiu1jing4
举	ju3
举办	ju3ban4
举行	ju3xing2
拒绝	ju4jue2
距离	ju4li2
聚会	ju4hui4
开玩笑	kai1//wan2xiao4
开心	kai1//xin1
看法	kan4fa3
考虑	kao3lü4
烤鸭	kao3ya1
科学	ke1xue2
棵	ke1
咳嗽	ke2sou5
可怜	ke3lian2
可是	ke3shi4
可惜	ke3xi1
客厅	ke4ting1
肯定	ken3ding4
空	kong1
空气	kong1qi4
恐怕	kong3pa4
苦	ku3
矿泉水	kuang4quan2shui3
困	kun4
困难	kun4nan5
垃圾桶	la1ji1tong3
拉	la1
辣	la4
来不及	lai2bu5ji2
来得及	lai2de5ji2
来自	lai2zi4
懒	lan3
浪费	lang4fei4
浪漫	lang4man4
老虎	lao3hu3
冷静	leng3jing4
礼拜天	li3bai4tian1
礼貌	li3mao4
理发	li3//fa4
理解	li3jie3
理想	li3xiang3
力气	li4qi5
厉害	li4hai5
例如	li4ru2
俩	lia3
连	lian2
联系	lian2xi4
凉快	liang2kuai5
零钱	ling2qian2
另外	ling4wai4
留	liu2
流利	liu2li4
流行	liu2xing2
旅行	lü3xing2
律师	lü4shi1
乱	luan4
麻烦	ma2fan5
马虎	ma3hu5
满	man3
毛	mao2
毛巾	mao2jin1
美丽	mei3li4
梦	meng4
迷路	mi2//lu4
密码	mi4ma3
免费	mian3//fei4
秒	miao3
民族	min2zu2
母亲	mu3qin5
目的	mu4di4
耐心	nai4xin1
难道	nan2dao4
难受	nan2shou4
内	nei4
内容	nei4rong2
能力	neng2li4
年龄	nian2ling2
弄	nong4
暖和	nuan3huo5
偶尔	ou3er3
排队	pai2//dui4
排列	pai2lie4
判断	pan4duan4
陪	pei2
批评	pi1ping2
皮肤	pi2fu1
脾气	pi2qi5
篇	pian1
骗	pian4
乒乓球	ping1pang1qiu2
平时	ping2shi2
破	po4
葡萄	pu2tao5
普遍	pu3bian4
普通话	pu3tong1hua4
其次	qi2ci4
其中	qi2zhong1
气候	qi4hou4
千万	qian1wan4
签证	qian1zheng4
敲	qiao1
桥	qiao2
巧克力	qiao3ke4li4
亲戚	qin1qi5
轻	qing1
轻松	qing1song1
情况	qing2kuang4
穷	qiong2
区别	qu1bie2
取	qu3
全部	quan2bu4
缺点	que1dian3
缺少	que1shao3
却	que4
确实	que4shi2
然而	ran2er2
热闹	re4nao5
任何	ren4he2
任务	ren4wu5
扔	reng1
仍然	reng2ran2
日记	ri4ji4
入口	ru4//kou3
散步	san4//bu4
森林	sen1lin2
沙发	sha1fa1
伤心	shang1//xin1
商量	shang1liang5
稍微	shao1wei1
勺子	shao2zi5
社会	she4hui4
申请	shen1qing3
深	shen1
甚至	shen4zhi4
生活	sheng1huo2
生命	sheng1ming4
生意	sheng1yi4
省	sheng3
剩	sheng4
失败	shi1bai4
失望	shi1wang4
师傅	shi1fu5
十分	shi2fen1
实际	shi2ji4
实在	shi2zai4
使	shi3
使用	shi3yong4
